ONS_code,Year,Age_Range,Caries_present,Count
E06000001,1516,00to05,No,*
E06000001,1516,00to05,Yes,*
E06000001,1516,06to10,No,*
E06000001,1516,06to10,Yes,10
E06000001,1516,11to14,No,15
E06000001,1516,11to14,Yes,*
E06000001,1516,15to19,No,10
E06000001,1516,15to19,Yes,*
E06000001,1617,00to05,No,*
E06000001,1617,00to05,Yes,*
E06000001,1617,06to10,No,*
E06000001,1617,06to10,Yes,15
E06000001,1617,11to14,No,10
E06000001,1617,15to19,No,10
E06000001,1617,15to19,Yes,*
E06000001,1718,00to05,No,*
E06000001,1718,00to05,Yes,*
E06000001,1718,06to10,No,10
E06000001,1718,06to10,Yes,15
E06000001,1718,11to14,No,10
E06000001,1718,11to14,Yes,*
E06000001,1718,15to19,No,15
E06000001,1718,15to19,Yes,*
E06000001,1819,00to05,No,*
E06000001,1819,00to05,Yes,*
E06000001,1819,06to10,No,*
E06000001,1819,06to10,Yes,20
E06000001,1819,11to14,No,*
E06000001,1819,11to14,Yes,*
E06000001,1819,15to19,No,10
E06000001,1819,15to19,Yes,*
E06000001,1920,00to05,No,*
E06000001,1920,00to05,Yes,*
E06000001,1920,06to10,No,10
E06000001,1920,06to10,Yes,15
E06000001,1920,11to14,No,*
E06000001,1920,11to14,Yes,*
E06000001,1920,15to19,No,10
E06000001,1920,15to19,Yes,*
E06000002,1516,00to05,No,10
E06000002,1516,00to05,Yes,65
E06000002,1516,06to10,No,15
E06000002,1516,06to10,Yes,65
E06000002,1516,11to14,No,15
E06000002,1516,11to14,Yes,20
E06000002,1516,15to19,No,15
E06000002,1516,15to19,Yes,*
E06000002,1617,00to05,No,10
E06000002,1617,00to05,Yes,50
E06000002,1617,06to10,No,10
E06000002,1617,06to10,Yes,45
E06000002,1617,11to14,No,20
E06000002,1617,11to14,Yes,15
E06000002,1617,15to19,No,25
E06000002,1617,15to19,Yes,15
E06000002,1718,00to05,No,30
E06000002,1718,00to05,Yes,65
E06000002,1718,06to10,No,30
E06000002,1718,06to10,Yes,60
E06000002,1718,11to14,No,20
E06000002,1718,11to14,Yes,10
E06000002,1718,15to19,No,10
E06000002,1718,15to19,Yes,10
E06000002,1819,00to05,No,15
E06000002,1819,00to05,Yes,60
E06000002,1819,06to10,No,15
E06000002,1819,06to10,Yes,50
E06000002,1819,11to14,No,20
E06000002,1819,11to14,Yes,10
E06000002,1819,15to19,No,15
E06000002,1819,15to19,Yes,*
E06000002,1920,00to05,No,10
E06000002,1920,00to05,Yes,55
E06000002,1920,06to10,No,10
E06000002,1920,06to10,Yes,35
E06000002,1920,11to14,No,15
E06000002,1920,11to14,Yes,*
E06000002,1920,15to19,No,20
E06000002,1920,15to19,Yes,10
E06000003,1516,00to05,No,*
E06000003,1516,00to05,Yes,40
E06000003,1516,06to10,No,15
E06000003,1516,06to10,Yes,35
E06000003,1516,11to14,No,15
E06000003,1516,11to14,Yes,10
E06000003,1516,15to19,No,15
E06000003,1516,15to19,Yes,10
E06000003,1617,00to05,No,10
E06000003,1617,00to05,Yes,30
E06000003,1617,06to10,No,15
E06000003,1617,06to10,Yes,40
E06000003,1617,11to14,No,20
E06000003,1617,11to14,Yes,10
E06000003,1617,15to19,No,20
E06000003,1617,15to19,Yes,*
E06000003,1718,00to05,No,*
E06000003,1718,00to05,Yes,30
E06000003,1718,06to10,No,20
E06000003,1718,06to10,Yes,50
E06000003,1718,11to14,No,20
E06000003,1718,11to14,Yes,15
E06000003,1718,15to19,No,10
E06000003,1718,15to19,Yes,*
E06000003,1819,00to05,No,10
E06000003,1819,00to05,Yes,30
E06000003,1819,06to10,No,15
E06000003,1819,06to10,Yes,30
E06000003,1819,11to14,No,15
E06000003,1819,11to14,Yes,10
E06000003,1819,15to19,No,10
E06000003,1819,15to19,Yes,*
E06000003,1920,00to05,No,10
E06000003,1920,00to05,Yes,20
E06000003,1920,06to10,No,10
E06000003,1920,06to10,Yes,25
E06000003,1920,11to14,No,10
E06000003,1920,11to14,Yes,*
E06000003,1920,15to19,No,15
E06000003,1920,15to19,Yes,*
E06000004,1516,00to05,No,10
E06000004,1516,00to05,Yes,40
E06000004,1516,06to10,No,10
E06000004,1516,06to10,Yes,50
E06000004,1516,11to14,No,20
E06000004,1516,11to14,Yes,15
E06000004,1516,15to19,No,10
E06000004,1516,15to19,Yes,10
E06000004,1617,00to05,No,*
E06000004,1617,00to05,Yes,50
E06000004,1617,06to10,No,10
E06000004,1617,06to10,Yes,60
E06000004,1617,11to14,No,25
E06000004,1617,11to14,Yes,15
E06000004,1617,15to19,No,10
E06000004,1617,15to19,Yes,10
E06000004,1718,00to05,No,20
E06000004,1718,00to05,Yes,60
E06000004,1718,06to10,No,20
E06000004,1718,06to10,Yes,75
E06000004,1718,11to14,No,25
E06000004,1718,11to14,Yes,15
E06000004,1718,15to19,No,10
E06000004,1718,15to19,Yes,*
E06000004,1819,00to05,No,10
E06000004,1819,00to05,Yes,40
E06000004,1819,06to10,No,15
E06000004,1819,06to10,Yes,75
E06000004,1819,11to14,No,20
E06000004,1819,11to14,Yes,10
E06000004,1819,15to19,No,15
E06000004,1819,15to19,Yes,*
E06000004,1920,00to05,No,*
E06000004,1920,00to05,Yes,30
E06000004,1920,06to10,No,20
E06000004,1920,06to10,Yes,55
E06000004,1920,11to14,No,20
E06000004,1920,11to14,Yes,10
E06000004,1920,15to19,No,10
E06000004,1920,15to19,Yes,*
E06000005,1516,00to05,No,*
E06000005,1516,00to05,Yes,*
E06000005,1516,06to10,No,10
E06000005,1516,06to10,Yes,20
E06000005,1516,11to14,No,20
E06000005,1516,11to14,Yes,*
E06000005,1516,15to19,No,10
E06000005,1516,15to19,Yes,*
E06000005,1617,00to05,No,*
E06000005,1617,00to05,Yes,*
E06000005,1617,06to10,No,*
E06000005,1617,06to10,Yes,10
E06000005,1617,11to14,No,20
E06000005,1617,11to14,Yes,*
E06000005,1617,15to19,No,15
E06000005,1617,15to19,Yes,*
E06000005,1718,00to05,No,*
E06000005,1718,00to05,Yes,*
E06000005,1718,06to10,No,*
E06000005,1718,06to10,Yes,*
E06000005,1718,11to14,No,15
E06000005,1718,11to14,Yes,*
E06000005,1718,15to19,No,10
E06000005,1819,00to05,No,50
E06000005,1819,00to05,Yes,*
E06000005,1819,06to10,No,50
E06000005,1819,06to10,Yes,15
E06000005,1819,11to14,No,20
E06000005,1819,11to14,Yes,*
E06000005,1819,15to19,No,10
E06000005,1819,15to19,Yes,*
E06000005,1920,00to05,No,*
E06000005,1920,00to05,Yes,55
E06000005,1920,06to10,No,20
E06000005,1920,06to10,Yes,80
E06000005,1920,11to14,No,15
E06000005,1920,11to14,Yes,*
E06000005,1920,15to19,No,10
E06000005,1920,15to19,Yes,*
E06000006,1516,00to05,No,*
E06000006,1516,00to05,Yes,*
E06000006,1516,06to10,No,*
E06000006,1516,06to10,Yes,35
E06000006,1516,11to14,No,25
E06000006,1516,11to14,Yes,20
