Geo_Name,Geo_QName,Geo_FIPS,Geo_LA_CODE,SE_T001_001,SE_T004_001,SE_T004_002,SE_T004_003,SE_T005_001,SE_T005_002,SE_T005_003,SE_T006_001,SE_T006_002,SE_T006_003,SE_T006_004,SE_T006_005,SE_T006_006,SE_T006_007,SE_T006_008,SE_T006_009,SE_T006_010,SE_T006_011,SE_T006_012,SE_T006_013,SE_T014_001,SE_T014_002,SE_T014_003,SE_T014_004,SE_T018_001,SE_T018_002,SE_T018_003,SE_T020_001,SE_T020_002,SE_T020_003,SE_T020_004,SE_T030_001,SE_T030_002,SE_T030_003,SE_T030_004,SE_T030_005,SE_T035_001,SE_T044_001,SE_T044_002
"Hartlepool","Hartlepool, England","UK1E06000001","E06000001",92028,92028,93.8611,980.47007759338,92028,44751,47277,92028,5698,5192,5653,3827,8406,5622,16869,19326,5837,8174,5568,1856,3913,1344,740,1829,92028,89469,2559,92028,11137,10178,70713,40434,30762,9292,313,67,0.946455952910917,43513,5194
"Middlesbrough","Middlesbrough, England","UK1E06000002","E06000002",138412,138412,53.8747,2569.14655673257,138412,67732,70680,138412,9431,8276,8485,5558,16196,9765,25414,27065,7531,10833,7393,2465,5919,1958,1026,2935,138412,127042,11370,138412,14959,13919,109534,57203,39982,16239,777,205,0.905914025488174,63582,7631
"Redcar and Cleveland","Redcar and Cleveland, England","UK1E06000003","E06000003",135177,135177,244.8951,551.979194357094,135177,65655,69522,135177,7553,7098,7803,5320,11607,7628,24120,28285,9511,14418,8721,3113,5124,1810,1061,2253,135177,132158,3019,135177,15482,15235,104460,59605,45288,13854,399,64,1.08626793054274,63530,6533
"Stockton-on-Tees","Stockton-on-Tees, England","UK1E06000004","E06000004",191610,191610,203.9306,939.584348793168,191610,94082,97528,191610,12322,10973,11457,7523,17947,12602,37535,39652,11648,16102,10368,3481,6777,2367,1707,2703,191610,182769,8841,191610,17677,18731,155202,79159,58437,19982,620,120,1.15745524829773,96259,8075
"Darlington","Darlington, England","UK1E06000005","E06000005",105564,105564,197.4751,534.568662074358,105564,51483,54081,105564,6579,6074,6224,4051,8428,6607,20917,21560,6685,9717,6172,2550,4023,1404,1114,1505,105564,100025,5539,105564,9821,10902,84841,46670,35935,10337,322,76,1.06693807585172,53443,4002
"Halton","Halton, England","UK1E06000006","E06000006",125746,125746,79.0952,1589.80570249522,125746,61368,64378,125746,8354,7383,7577,4952,11154,8141,25004,26192,8508,10370,6132,1979,5350,1579,1314,2457,125746,122361,3385,125746,14556,12309,98881,53312,38386,14403,449,74,1.10682397959184,63411,5151
"Warrington","Warrington, England","UK1E06000007","E06000007",202228,202228,180.6539,1119.4222765188,202228,100300,101928,202228,12309,11555,12296,7850,16745,12503,42327,41988,12441,18198,10294,3722,6197,2114,2150,1933,202228,190719,11509,202228,16940,18057,167231,85140,64187,20226,604,123,1.296088794926,107765,5961
"Blackburn with Darwen","Blackburn with Darwen, England","UK1E06000008","E06000008",147489,147489,137.0118,1076.46932599966,147489,73547,73942,147489,11278,10478,10322,6567,13369,10951,30862,26717,7884,10356,6360,2345,5009,1536,1242,2231,147489,125695,21794,147489,15563,14278,117648,57353,39100,16750,1258,245,1.01907485223092,67033,5575
"Blackpool","Blackpool, England","UK1E06000009","E06000009",142065,142065,34.881,4072.84768211921,142065,69775,72290,142065,8218,7436,8052,5147,12030,8580,26854,29094,9415,14353,9148,3738,5705,1998,1310,2397,142065,134362,7703,142065,19247,17084,105734,64367,48718,15046,463,140,0.89160594714683,68540,6337
"Kingston upon Hull, City of","Kingston upon Hull, City of, England","UK1E06000010","E06000010",256406,256406,71.4492,3588.64759857353,256406,128420,127986,256406,17358,13974,13944,9503,31953,20274,52108,47717,13844,18301,12788,4642,10222,3308,1888,5026,256406,234585,21821,256406,25672,24719,206015,112596,79065,31694,1505,332,0.801449429819887,128130,15296
"East Riding of Yorkshire","East Riding of Yorkshire, England","UK1E06000011","E06000011",334179,334179,2407.6765,138.797301049373,334179,163388,170791,334179,16400,16630,18625,12420,23755,15073,60345,72406,27070,38716,23720,9019,7645,2920,2466,2259,334179,321312,12867,334179,29029,34936,270214,143032,113536,28619,737,140,1.33130348453493,168860,8795
"North East Lincolnshire","North East Lincolnshire, England","UK1E06000012","E06000012",159616,159616,191.8449,832.005437725996,159616,78247,81369,159616,10005,8966,9264,6123,14669,9987,29802,32277,10236,14733,9813,3741,6035,2158,1090,2787,159616,152643,6973,159616,14786,16334,128496,69707,53344,15765,492,106,1.01316940909808,79227,7486
"North Lincolnshire","North Lincolnshire, England","UK1E06000013","E06000013",167446,167446,846.3129,197.853536203927,167446,82623,84823,167446,10282,9377,9550,6349,13328,9969,31667,35433,11452,16263,10012,3764,4584,1747,1114,1723,167446,156487,10959,167446,15333,16946,135167,70684,54055,15913,604,112,1.26594420236546,84668,5869
"York","York, England","UK1E06000014","E06000014",198051,198051,271.9363,728.299237725894,198051,96254,101797,198051,10677,9348,9712,6218,27625,14159,38818,36363,11716,16929,11629,4857,4866,1941,1505,1420,198051,179823,18228,198051,13018,17357,167676,83552,61906,20795,640,211,1.07868153963998,104945,4582
"Derby","Derby, England","UK1E06000015","E06000015",248752,248752,78.0311,3187.85714926484,248752,123046,125706,248752,17743,14983,14857,9343,27454,18211,51298,44608,12586,18884,13540,5245,8308,2710,2085,3513,248752,214131,34621,248752,21984,24472,202296,102271,72469,27720,1622,460,1.05723029988951,123691,9297
"Leicester","Leicester, England","UK1E06000016","E06000016",329839,329839,73.3148,4498.94155068281,329839,162884,166955,329839,24297,20780,20162,12648,47248,29571,68167,55694,14056,18888,12936,5392,10323,3136,2005,5182,329839,218996,110843,329839,27615,29522,272702,123125,73351,43794,4384,1596,0.896609137055838,156425,14982
